UV,SolarRad,Avg_Wind,Rel_humidity,pop_Density,StringyInd,PM25,DailyTemp,Precipitation,DailyCases,DailyDeath,TotPop,CSR
7,20.8,9,81.5,147.7521901,74.54,92,25.9,253.05837,18010,1191,270625568,6.65E-05
6,30.2,16,65,410.4805915,77.78,87,32.2,5.349480394,16643,276,9053300,0.001838335
5,22.1,9,74,205.4183722,63.89,74,23.2,32.52644741,225886,32007,60297396,0.003746198
5,16.9,20,65,347.0734584,40.74,43,19.1,138.182633,16259,796,126264931,0.000128769
7,15.6,12.6,54,6.769825721,83.8,18,17.9,16.53465615,6751,35,18513930,0.000364644
5,20.1,12.2,65.8,550.4,72.69,57,21.7,72.06204647,2593,263,545724,0.004751486
6,16.8,10.9,69.2,413.1,72.69,27,33.9,76.71646184,304,6,293582,0.001035486
6,28.1,13.5,74.5,8092.3,72.69,57,23.9,7.508715376,39573,1840,3979537,0.009944122
6,18.8,9,80,95.96282149,69.44,51,29.7,175.1556388,6941,113,31949777,0.000217247
9,33.6,11.3,20.6,414.9,72.69,30,31.3,2.819145828,7482,324,4485414,0.001668073
6,21.9,5.7,91,64.91462641,82.41,77,20.2,31.35628962,51633,5332,127575529,0.000404725
4,22,11.1,66.5,1704.9,72.69,16,16.7,91.35200746,1005,55,812855,0.001236383
5,14.9,16,74.5,511.4759276,68.52,25,18.2,48.31882305,44141,5694,17332850,0.002546667
6,14.5,13,73.1,2029.4,72.69,16,25.3,74.080341,6869,495,390144,0.01760632
5,22.6,17.9,62,27012.5,72.69,9,18.3,138.0046795,25293,2820,8336817,0.003033892
4,18.3,15.8,85,18.38517337,39.81,48,12.2,150.5485133,1499,21,4917000,0.000304861
4,18.8,19.7,78.9,244.1,70.83,15,9.8,99.66372926,260,3,108860,0.002388389
4,14.4,16,63,82.59151467,68.52,80,25.6,32.85013899,1817,104,2083459,0.000872107
6,15.8,12,65,14.54829163,58.33,18,9.3,33.78137881,8257,233,5347896,0.001543972
6,23.4,18.7,70.6,956.4,72.69,22,28.3,145.7489324,1087,46,655158,0.001659142
3,18.6,12.3,65.1,14.8,70.83,4,11,107.1483192,24286,2019,13448494,0.001805853
6,25.1,12,40,275.2893187,85.19,75,29.1,28.3497873,43966,939,216565318,0.000203015
4,11.2,14,70,124.0234822,83.33,58,26.7,80.27466273,18885,936,37970874,0.000497355
3,13.7,8,68,79.8376858,51.85,55,18.3,97.58009571,10699,231,6944975,0.001540538
7,15,9,84,7952.998418,73.15,29,29.7,150.5431928,28343,22,5703569,0.004969345
3,10.9,14,64,113.2855865,73.15,88,18.3,79.07037346,1495,28,5454073,0.000274107
6,19.3,7.6,57.7,47.63011978,84.26,85,14.4,24.8940487,16433,286,58558270,0.000280626
5,12.1,12,65,529.3585013,43.52,12,17.7,103.2336721,11078,263,51709098,0.000214237
5,27.1,17,54,93.67719744,79.17,48,22.4,42.8209469,231606,27709,47076781,0.00491975
6,16.2,8,79.5,345.558922,82.41,44,30,244.4456164,992,9,21803000,4.55E-05
7,14.9,16,80,658,25.93,79,31,201.1999173,440,7,23855010,1.84E-05
7,11.8,9,75,135.8972068,73.15,50,32.1,169.3002515,3031,56,69625582,4.35E-05
6,17.2,17,70,106.9601289,75.93,60,23.8,34.32108057,150593,4171,83429615,0.001805031
4,26.6,14.4,62,77.0296708,88.89,22,14.8,47.74871891,18616,535,44385155,0.00041942
9,27.3,9,50,135.6091101,72.22,122,34.3,14.35277664,24190,224,9770529,0.002475813
5,12.8,10.6,70,274.7089819,71.3,45,16.7,52.33588578,232506,33966,66834405,0.003478837
3,13.5,20,56,27,67.13,83,12.4,48.12302667,1573,18,4485213,0.000350708
7,10.7,9,80,308.1252459,69.44,48,31.9,119.3362169,324,0,96462106,3.36E-06
4,15.6,15,57.25,1360.9,70.83,51,16,44.07844222,6716,128,932546,0.00720179
6,22.4,36,72.7,44,72.69,38,33.9,139.3191941,20,0,30032,0.000665956
3,18.9,14,65.35,107.1279669,59.26,18,19.9,91.69791868,16321,632,8877067,0.001838558
7,13.4,8,77.5,1239.579312,93.52,93,29.3,293.2592804,25121,370,163046161,0.000154073
6,19.4,12,55.5,1300,81.94,83,23.7,142.3064467,593,9,21516000,2.76E-05
5,17,12,75,377.3795905,75,40,16.5,36.26952294,55791,9108,11484055,0.004858127
6,18.2,9,80,25.06171624,81.02,75,18,100.5367326,271885,17983,211049527,0.001288252
3,16.6,12.5,73.15,5492.6,70.83,14,16,74.25969076,2446,146,631486,0.003873403
8,34.3,17.2,21.1,247.3,72.69,19,23.3,3.45649498,5650,296,2266715,0.002492594
7,13.8,13.4,67,2026.4,72.69,23,23.3,75.90953213,2584,135,760141,0.003399369
5,13.1,17,78,97.91306306,72.22,51,19,237.0498425,882,10,5047561,0.000174738
3,6.8,27,71.5,137.6577053,57.41,41,17.8,92.23140422,8647,302,10669709,0.000810425
4,15.3,19,75,137.9765658,65.74,29,15,41.26204153,11044,551,5818553,0.001898066
5,22.9,16,65,18.14854727,53.7,19,8.9,37.97323934,6399,301,5520314,0.001159173
5,21.9,16,70,122.2994372,76.85,62,18.5,64.54182298,178428,27976,67059887,0.002660726
4,26.7,5.1,63.8,83.26518231,68.52,81,22.9,17.62100339,2840,165,10716322,0.000265016
6,10.8,17,81.5,7096.190476,63.89,21,30,397.8341209,1055,4,7507400,0.000140528
3,14,14,60,107.9814868,66.67,24,18.6,33.4036378,3556,467,9769949,0.000363973
7,26.6,12,40,454.9380726,79.17,104,32.3,13.03434314,106475,3302,1366417754,7.79E-05
7,22.8,9,81.5,147.7521901,74.54,106,27.1,188.1476045,18496,1221,270625568,6.83E-05
6,30.2,16,65,410.4805915,77.78,85,33.4,7.936551362,16659,278,9053300,0.001840103
5,22.1,9,74,205.4183722,63.89,65,22.3,75.83549843,226699,32169,60297396,0.003759681
5,11.9,20,65,347.0734584,40.74,48,15.4,97.92403608,16287,805,126264931,0.000128991
7,29.6,12.6,54,6.769825721,83.8,29,13,22.79512995,6751,35,18513930,0.000364644
5,11.1,12.2,65.8,550.4,72.69,78,21.7,97.7773234,2599,263,545724,0.004762481
6,15.8,10.9,69.2,413.1,72.69,30,33.9,71.82077964,306,6,293582,0.001042298
6,29.1,13.5,74.5,8092.3,72.69,78,22.8,5.888499317,40895,1913,3979537,0.010276321
6,12.8,9,80,95.96282149,69.44,55,30.5,185.7128886,6978,114,31949777,0.000218405
9,28.6,11.3,20.6,414.9,72.69,32,29.2,3.181188684,7644,339,4485414,0.001704191
6,29.9,5.7,91,64.91462641,82.41,66,22.2,38.66901195,54346,5666,127575529,0.000425991
4,20,11.1,66.5,1704.9,72.69,15,16.7,77.76807057,1018,55,812855,0.001252376
5,15.9,16,74.5,511.4759276,68.52,23,20.2,26.89191029,44249,5715,17332850,0.002552898
6,20.5,13,73.1,2029.4,72.69,17,26.2,174.2707579,6884,494,390144,0.017644767
5,18.6,17.9,62,27012.5,72.69,14,20.6,142.9889481,25391,2835,8336817,0.003045647
4,11.3,15.8,85,18.38517337,39.81,42,11.1,127.1073326,1503,21,4917000,0.000305674
4,6.8,19.7,78.9,244.1,70.83,23,8.1,143.0078194,260,3,108860,0.002388389
4,14.4,16,63,82.59151467,68.52,78,25.3,81.69452886,1839,106,2083459,0.000882667
6,26.8,12,65,14.54829163,58.33,17,9.7,63.84518037,8267,233,5347896,0.001545842
6,24.4,18.7,70.6,956.4,72.69,22,26.7,107.7830828,1093,49,655158,0.0016683
3,12.6,12.3,65.1,14.8,70.83,7,12.3,103.3798624,24755,2032,13448494,0.001840727
6,28.1,12,40,275.2893187,85.19,75,27.1,50.9705999,45898,985,216565318,0.000211936
4,15.2,14,70,124.0234822,83.33,56,21.7,55.66175346,19268,948,37970874,0.000507442
3,19.7,8,68,79.8376858,51.85,45,20.5,40.94913985,10733,234,6944975,0.001545434
7,10,9,84,7952.998418,73.15,36,29.9,133.8906272,28794,22,5703569,0.005048418
3,11.9,14,64,113.2855865,73.15,98,18.9,72.49930773,1495,28,5454073,0.000274107
6,28.3,7.6,57.7,47.63011978,84.26,60,13.8,41.74175764,17200,312,58558270,0.000293725
5,13.1,12,65,529.3585013,43.52,31,12.3,92.79355981,11110,263,51709098,0.000214856
5,17.1,17,54,93.67719744,79.17,45,24.1,37.09300152,232037,27778,47076781,0.004928905
6,16.2,8,79.5,345.558922,82.41,64,29.9,184.3537439,1027,9,21803000,4.71E-05
7,7.9,16,80,658,25.93,78,27,130.6559901,440,7,23855010,1.84E-05
7,17.8,9,75,135.8972068,75,50,32.2,247.8508629,3033,56,69625582,4.36E-05
6,21.2,17,70,106.9601289,75.93,45,25.4,42.44928407,151615,4199,83429615,0.00181728
4,12.6,14.4,62,77.0296708,88.89,32,13.2,62.12564788,18876,548,44385155,0.000425277
9,31.3,9,50,135.6091101,72.22,114,34.2,14.15860386,25063,227,9770529,0.002565163
5,7.8,10.6,70,274.7089819,71.3,50,18.4,46.1237593,235547,34466,66834405,0.003524338
3,15.5,20,56,27,67.13,85,13.3,20.15826497,1573,18,4485213,0.000350708
7,13.7,9,80,308.1252459,69.44,61,30.3,180.2914746,324,0,96462106,3.36E-06
4,17.6,15,57.25,1360.9,70.83,83,17,34.41691467,6735,128,932546,0.007222164
6,20.4,36,72.7,44,72.69,42,35,62.35318734,21,0,30032,0.000699254
3,18.9,14,65.35,107.1279669,59.26,25,18.4,46.24722662,16353,633,8877067,0.001842163
7,10.4,8,77.5,1239.579312,93.52,95,27.2,158.0480765,26738,386,163046161,0.00016399
6,24.4,12,55.5,1300,81.94,90,24.2,83.93947823,593,9,21516000,2.76E-05
5,17,12,75,377.3795905,75,33,18.3,31.86890624,55983,9150,11484055,0.004874846
6,20.2,9,80,25.06171624,81.02,65,19.1,71.82336877,291579,18859,211049527,0.001381567
3,13.6,12.5,73.15,5492.6,70.83,15,12,69.05714604,2467,149,631486,0.003906658
8,24.3,17.2,21.1,247.3,72.69,16,27.2,1.280398545,5734,314,2266715,0.002529652
7,13.8,13.4,67,2026.4,72.69,21,16.1,52.42385718,2625,135,760141,0.003453307
5,6.1,17,78,97.91306306,72.22,44,20,412.7610985,897,10,5047561,0.00017771
3,17.8,27,71.5,137.6577053,57.41,43,14.6,86.56990339,8721,304,10669709,0.000817361
4,27.3,19,75,137.9765658,65.74,30,14,56.15277307,11117,554,5818553,0.001910612
5,14.9,16,65,18.14854727,53.7,18,11.1,18.34528018,6443,304,5520314,0.001167144
5,11.9,16,70,122.2994372,76.85,68,21.5,53.88397714,179069,28084,67059887,0.002670285
4,14.7,5.1,63.8,83.26518231,68.52,63,21.6,21.71955323,2850,166,10716322,0.000265949
6,6.8,17,81.5,7096.190476,63.89,17,26,247.1380057,1055,4,7507400,0.000140528
3,21,14,60,107.9814868,66.67,29,17.5,42.26226159,3598,470,9769949,0.000368272
7,31.6,12,40,454.9380726,79.17,136,32.7,10.12211072,112028,3434,1366417754,8.20E-05
7,21.8,9,81.5,147.7521901,71.76,114,26.8,147.418449,19189,1242,270625568,7.09E-05
6,29.2,16,65,410.4805915,75,59,31.9,8.64733705,16667,279,9053300,0.001840986
5,21.1,9,74,205.4183722,63.89,61,21.4,71.00883494,227364,32330,60297396,0.00377071
5,12.9,20,65,347.0734584,40.74,13,12.6,177.7914012,16321,818,126264931,0.00012926
7,25.6,12.6,54,6.769825721,83.8,24,15.3,43.38008098,6969,35,18513930,0.000376419
5,20.1,12.2,65.8,550.4,72.69,55,21.1,110.877353,2690,266,545724,0.004929232
6,23.8,10.9,69.2,413.1,72.69,27,32.8,79.63347409,320,6,293582,0.001089985
6,34.1,13.5,74.5,8092.3,72.69,55,25,6.401162826,42037,1973,3979537,0.010563289
6,16.8,9,80,95.96282149,69.44,60,28.2,211.5192553,7009,114,31949777,0.000219376
9,39.6,11.3,20.6,414.9,72.69,25,24.6,2.451861495,7835,357,4485414,0.001746773
6,23.9,5.7,91,64.91462641,82.41,70,23.6,67.02594181,56594,6090,127575529,0.000443612
4,9,11.1,66.5,1704.9,72.69,11,17.2,66.17395645,1026,57,812855,0.001262218
5,11.9,16,74.5,511.4759276,68.52,30,20,39.3051851,44447,5748,17332850,0.002564322
6,12.5,13,73.1,2029.4,72.69,31,26.7,151.4420751,6904,500,390144,0.01769603
5,21.6,17.9,62,27012.5,72.69,17,18.3,53.7166113,25522,2851,8336817,0.00306136
4,20.3,15.8,85,18.38517337,39.81,35,9.8,151.1740045,1503,21,4917000,0.000305674
4,12.8,19.7,78.9,244.1,70.83,21,6.9,67.3214185,260,3,108860,0.002388389
4,21.4,16,63,82.59151467,68.52,80,14.2,51.53646136,1858,110,2083459,0.000891786
6,23.8,12,65,14.54829163,58.33,13,10.8,56.72324294,8281,234,5347896,0.001548459
6,23.4,18.7,70.6,956.4,72.69,21,27.8,87.91162546,1109,51,655158,0.001692721
3,11.6,12.3,65.1,14.8,70.83,9,12.5,109.6070635,25197,2079,13448494,0.001873593
6,25.1,12,40,275.2893187,85.19,80,29.6,32.03486346,48091,1017,216565318,0.000222062
4,15.2,14,70,124.0234822,83.33,67,15,63.02059242,19739,962,37970874,0.000519846
3,9.7,8,68,79.8376858,51.85,27,16.9,99.00157912,10833,235,6944975,0.001559833
7,14,9,84,7952.998418,73.15,53,28.3,165.0645303,29364,22,5703569,0.005148355
3,22.9,14,64,113.2855865,73.15,70,18.2,71.26724292,1496,28,5454073,0.00027429
6,20.3,7.6,57.7,47.63011978,84.26,59,13.9,17.18007102,18003,339,58558270,0.000307437
5,17.1,12,65,529.3585013,39.81,32,14.8,116.156025,11122,264,51709098,0.000215088
5,14.1,17,54,93.67719744,79.17,47,25.1,48.44333165,232555,27888,47076781,0.004939909
6,16.2,8,79.5,345.558922,82.41,93,30.2,196.8948081,1028,9,21803000,4.71E-05
7,5.9,16,80,658,25.93,50,27,274.4030069,440,7,23855010,1.84E-05
7,18.8,9,75,135.8972068,75,39,31.4,156.5302191,3034,56,69625582,4.36E-05
6,15.2,17,70,106.9601289,75.93,70,23.7,42.4316674,152587,4222,83429615,0.001828931
4,23.6,14.4,62,77.0296708,88.89,17,14.1,54.69002384,19230,564,44385155,0.000433253
9,22.3,9,50,135.6091101,72.22,115,34.3,10.75371447,26004,233,9770529,0.002661473
5,15.8,10.6,70,274.7089819,71.3,46,20.1,63.95146056,238253,34794,66834405,0.003564826
3,13.5,20,56,27,67.13,30,11.1,26.10768949,1581,18,4485213,0.000352492
7,16.7,9,80,308.1252459,69.44,51,28.8,223.4480877,324,0,96462106,3.36E-06
4,21.6,15,57.25,1360.9,70.83,34,13,65.18824689,6768,132,932546,0.007257551
6,11.4,36,72.7,44,72.69,63,33.3,77.53665376,21,0,30032,0.000699254
3,20.9,14,65.35,107.1279669,59.26,32,16.2,49.9049539,16404,633,8877067,0.001847908
7,13.4,8,77.5,1239.579312,93.52,112,27.4,139.8251929,28511,408,163046161,0.000174865
6,26.4,12,55.5,1300,81.94,131,18.3,93.66386794,593,9,21516000,2.76E-05
5,7,12,75,377.3795905,75,40,20.4,63.57263969,56235,9186,11484055,0.00489679
6,19.2,9,80,25.06171624,81.02,63,20,49.41170109,310087,20047,211049527,0.001469262
3,13.6,12.5,73.15,5492.6,70.83,16,13,91.72435384,2479,152,631486,0.003925661
8,30.3,17.2,21.1,247.3,72.69,8,31.7,1.39397167,5815,320,2266715,0.002565386
7,20.8,13.4,67,2026.4,72.69,10,22.8,58.65549639,2655,138,760141,0.003492773
5,12.1,17,78,97.91306306,72.22,31,17,175.405192,903,10,5047561,0.000178898
3,17.8,27,71.5,137.6577053,57.41,29,14.9,45.71457171,8754,306,10669709,0.000820453
4,11.3,19,75,137.9765658,65.74,38,9,56.59324207,11182,561,5818553,0.001921784
5,16.9,16,65,18.14854727,53.7,19,13.3,35.61904955,6493,306,5520314,0.001176201
5,10.9,16,70,122.2994372,76.85,65,23.6,37.49987699,179306,28167,67059887,0.002673819
4,21.7,5.1,63.8,83.26518231,68.52,62,18.6,40.35739549,2853,168,10716322,0.000266229
6,12.8,17,81.5,7096.190476,63.89,23,29,285.2094119,1055,4,7507400,0.000140528
3,12,14,60,107.9814868,66.67,35,15.4,38.46128534,3641,473,9769949,0.000372673
7,25.6,12,40,454.9380726,79.17,146,33.2,9.473469231,118226,3584,1366417754,8.65E-05
7,16.8,9,81.5,147.7521901,71.76,69,28,251.9501887,20162,1278,270625568,7.45E-05
6,31.2,16,65,410.4805915,75,52,29.2,3.656852883,16683,279,9053300,0.001842753
5,15.1,9,74,205.4183722,63.89,78,21.5,42.64606392,228006,32486,60297396,0.003781357
5,12.9,20,65,347.0734584,40.74,13,13.4,163.6541041,16362,826,126264931,0.000129585
7,24.6,12.6,54,6.769825721,83.8,31,13.4,27.02314872,7234,35,18513930,0.000390733
5,14.1,12.2,65.8,550.4,72.69,61,23.3,51.86895156,2736,269,545724,0.005013523
6,14.8,10.9,69.2,413.1,72.69,27,27.8,58.1598764,329,6,293582,0.001120641
6,29.1,13.5,74.5,8092.3,72.69,61,26.7,4.120464679,43070,2016,3979537,0.010822867
6,14.8,9,80,95.96282149,69.44,58,28.9,250.5804949,7059,114,31949777,0.000220941
9,38.6,11.3,20.6,414.9,72.69,28,25.7,1.380343341,7950,361,4485414,0.001772412
6,27.9,5.7,91,64.91462641,82.41,99,23.4,36.5938662,59567,6510,127575529,0.000466916
4,21,11.1,66.5,1704.9,72.69,13,15.6,88.83374645,1037,57,812855,0.00127575
5,21.9,16,74.5,511.4759276,68.52,40,24.6,55.50422944,44700,5775,17332850,0.002578918
6,21.5,13,73.1,2029.4,72.69,35,27.4,111.366166,6944,500,390144,0.017798556
5,10.6,17.9,62,27012.5,72.69,12,17.8,129.6545231,25672,2857,8336817,0.003079353
4,16.3,15.8,85,18.38517337,39.81,32,11.3,146.1748845,1504,21,4917000,0.000305878
4,7.8,19.7,78.9,244.1,70.83,27,12.3,59.22703871,260,3,108860,0.002388389
4,19.4,16,63,82.59151467,68.52,65,18.7,41.27862001,1898,111,2083459,0.000910985
6,25.8,12,65,14.54829163,58.33,24,11.8,30.91181516,8309,235,5347896,0.001553695
6,21.4,18.7,70.6,956.4,72.69,25,26.7,119.9151157,1179,54,655158,0.001799566
3,12.6,12.3,65.1,14.8,70.83,18,13.8,96.4148224,25595,2106,13448494,0.001903187
6,26.1,12,40,275.2893187,82.41,86,31.4,51.24640605,50694,1067,216565318,0.000234082
4,15.2,14,70,124.0234822,83.33,53,18.3,45.53205976,20143,972,37970874,0.000530486
3,8.7,8,68,79.8376858,51.85,54,15.6,95.5833554,10919,237,6944975,0.001572216
7,10,9,84,7952.998418,73.15,47,29.4,135.1165632,29812,23,5703569,0.005226903
3,12.9,14,64,113.2855865,73.15,42,14.8,50.90442351,1502,28,5454073,0.000275391
6,33.3,7.6,57.7,47.63011978,84.26,90,12.8,38.13420268,19137,369,58558270,0.000326803
5,12.1,12,65,529.3585013,39.81,34,18.4,113.9454398,11142,264,51709098,0.000215475
5,19.1,17,54,93.67719744,79.17,48,26.1,28.11690328,233037,27940,47076781,0.004950147
6,16.2,8,79.5,345.558922,82.41,72,29.1,179.4552202,1055,9,21803000,4.84E-05
7,7.9,16,80,658,25.93,39,30,135.1851565,440,7,23855010,1.84E-05
7,18.8,9,75,135.8972068,75,26,32.3,262.1255545,3037,56,69625582,4.36E-05
6,17.2,17,70,106.9601289,75.93,50,19,50.93824485,153548,4249,83429615,0.00184045
4,15.6,14.4,62,77.0296708,88.89,46,11.9,41.26673418,19706,579,44385155,0.000443977
9,29.3,9,50,135.6091101,72.22,102,33.5,14.80684063,26898,237,9770529,0.002752973
5,19.8,10.6,70,274.7089819,71.3,36,20.1,63.46585337,240795,35067,66834405,0.00360286
3,14.5,20,56,27,67.13,23,9.4,58.1132285,1593,18,4485213,0.000355167
7,10.7,9,80,308.1252459,69.44,66,31.7,149.5188853,324,0,96462106,3.36E-06
4,12.6,15,57.25,1360.9,70.83,14,12,27.50696653,6800,134,932546,0.007291865
6,23.4,36,72.7,44,72.69,58,32.2,144.7068054,21,0,30032,0.000699254
3,20.9,14,65.35,107.1279669,59.26,51,15.7,99.6677437,16436,635,8877067,0.001851512
7,9.4,8,77.5,1239.579312,93.52,49,28.5,274.276228,30205,432,163046161,0.000185254
6,18.4,12,55.5,1300,81.94,145,22.4,136.881281,593,9,21516000,2.76E-05
5,9,12,75,377.3795905,75,48,19.2,75.9574147,56511,9212,11484055,0.004920823
6,13.2,9,80,25.06171624,81.02,70,21.4,117.4601071,330890,21048,211049527,0.001567831
3,16.6,12.5,73.15,5492.6,70.83,6,15,86.23524376,2507,155,631486,0.003970001
8,25.3,17.2,21.1,247.3,72.69,12,32.2,3.174375688,5815,322,2266715,0.002565386
7,14.8,13.4,67,2026.4,72.69,21,28.9,135.5079724,2661,141,760141,0.003500666
5,11.1,17,78,97.91306306,72.22,42,21,215.450331,911,10,5047561,0.000180483
3,11.8,27,71.5,137.6577053,57.41,27,15.4,39.02589484,8813,312,10669709,0.000825983
4,23.3,19,75,137.9765658,60.19,34,15,49.56974046,11230,561,5818553,0.001930033
5,14.9,16,65,18.14854727,53.7,23,10.5,44.76834439,6537,306,5520314,0.001184172
5,19.9,16,70,122.2994372,76.85,64,20.7,49.18795491,179645,28241,67059887,0.002678874
4,15.7,5.1,63.8,83.26518231,68.52,44,17.4,34.73591241,2874,169,10716322,0.000268189
6,10.8,17,81.5,7096.190476,63.89,24,29,229.0483459,1065,4,7507400,0.00014186
3,19,14,60,107.9814868,66.67,49,15.1,74.19467922,3678,476,9769949,0.000376461
7,26.6,12,40,454.9380726,79.17,146,34.4,10.84738178,124794,3726,1366417754,9.13E-05
7,17.8,9,81.5,147.7521901,71.76,85,27.4,166.5267794,20796,1326,270625568,7.68E-05
6,32.2,16,65,410.4805915,75,58,25.3,4.791873004,16690,279,9053300,0.001843527
5,22.1,9,74,205.4183722,63.89,89,21.9,43.62656589,228658,32616,60297396,0.00379217
5,14.9,20,65,347.0734584,40.74,23,16,123.1294631,16385,836,126264931,0.000129767
7,30.6,12.6,54,6.769825721,83.8,15,15.7,26.60713768,7919,35,18513930,0.000427732
5,12.1,12.2,65.8,550.4,72.69,71,20.6,60.93869907,2790,272,545724,0.005112474
6,24.8,10.9,69.2,413.1,72.69,28,33.3,58.9803315,330,6,293582,0.001124047
6,26.1,13.5,74.5,8092.3,72.69,71,26.1,5.436227281,44121,2053,3979537,0.011086968
6,13.8,9,80,95.96282149,69.44,53,27.3,300.2517586,7137,115,31949777,0.000223382
9,25.6,11.3,20.6,414.9,72.69,30,27.1,3.455118615,8177,368,4485414,0.00182302
6,19.9,5.7,91,64.91462641,82.41,109,22.5,43.58879386,62527,6989,127575529,0.000490118
4,16,11.1,66.5,1704.9,72.69,9,16.1,78.8243208,1037,58,812855,0.00127575
5,26.9,16,74.5,511.4759276,68.52,59,23.1,36.0230683,44888,5788,17332850,0.002589765
6,25.5,13,73.1,2029.4,72.69,28,28.6,121.8365083,6944,500,390144,0.017798556
5,15.6,17.9,62,27012.5,72.69,23,17.8,113.9104649,25806,2863,8336817,0.003095426
4,17.3,15.8,85,18.38517337,39.81,22,10.7,95.34760188,1504,21,4917000,0.000305878
4,15.8,19.7,78.9,244.1,70.83,23,17.4,85.14975499,260,3,108860,0.002388389
4,21.4,16,63,82.59151467,68.52,45,17.7,47.57646018,1921,112,2083459,0.000922024
6,13.8,12,65,14.54829163,58.33,23,12.5,75.64332061,8332,235,5347896,0.001557996
6,24.4,18.7,70.6,956.4,72.69,46,30,190.3548969,1189,55,655158,0.001814829
3,21.6,12.3,65.1,14.8,70.83,28,16.8,53.12345216,26085,2129,13448494,0.001939622
6,25.1,12,40,275.2893187,82.41,88,32.1,55.79966709,52437,1101,216565318,0.00024213
4,15.2,14,70,124.0234822,83.33,46,25.6,71.71127587,20619,982,37970874,0.000543021
3,12.7,8,68,79.8376858,49.07,55,15.5,55.42776361,11024,237,6944975,0.001587335
7,15,9,84,7952.998418,73.15,53,27.7,227.268505,30426,23,5703569,0.005334555
3,12.9,14,64,113.2855865,73.15,37,14.5,81.63373089,1503,28,5454073,0.000275574
6,29.3,7.6,57.7,47.63011978,84.26,108,12.6,44.33455891,20125,397,58558270,0.000343675
5,23.1,12,65,529.3585013,39.81,29,18.9,106.7219377,11165,266,51709098,0.000215919
5,28.1,17,54,93.67719744,75.46,53,27.4,45.61685729,234824,28628,47076781,0.004988107
6,11.2,8,79.5,345.558922,79.63,45,27.7,101.0785404,1068,9,21803000,4.90E-05
7,10.9,16,80,658,25.93,47,25,153.5507045,441,7,23855010,1.85E-05
7,18.8,9,75,135.8972068,75,55,33.2,214.8897427,3037,56,69625582,4.36E-05
6,22.2,17,70,106.9601289,75.93,65,13.7,62.22922192,154500,4276,83429615,0.00185186
4,19.6,14.4,62,77.0296708,83.33,11,11,45.63741828,20148,588,44385155,0.000453936
9,26.3,9,50,135.6091101,72.22,120,34.4,7.612880726,27892,241,9770529,0.002854707
5,16.8,10.6,70,274.7089819,71.3,56,18.4,32.41363436,242825,35358,66834405,0.003633234
3,16.5,20,56,27,67.13,23,10.6,59.69986681,1593,18,4485213,0.000355167
7,13.7,9,80,308.1252459,69.44,67,30.9,168.5342971,324,0,96462106,3.36E-06
4,22.6,15,57.25,1360.9,70.83,17,7,47.12099378,6818,135,932546,0.007311167
6,22.4,36,72.7,44,72.69,56,33.9,120.4023064,22,0,30032,0.000732552
3,13.9,14,65.35,107.1279669,59.26,52,16.2,126.7661367,16486,639,8877067,0.001857145
7,18.4,8,77.5,1239.579312,93.52,86,30.6,173.4715073,32078,452,163046161,0.000196742
6,22.4,12,55.5,1300,81.94,101,20.3,72.53889996,593,9,21516000,2.76E-05
5,18,12,75,377.3795905,75,45,14.8,62.48904313,56810,9237,11484055,0.004946859
6,18.2,9,80,25.06171624,81.02,71,20.3,63.18017759,347398,22013,211049527,0.00164605
3,16.6,12.5,73.15,5492.6,70.83,21,12,55.73654499,2517,157,631486,0.003985837
8,26.3,17.2,21.1,247.3,72.69,29,28.3,1.365693553,6140,322,2266715,0.002708766
7,19.8,13.4,67,2026.4,72.69,32,30.6,128.8426501,2702,141,760141,0.003554604
5,9.1,17,78,97.91306306,72.22,44,24,342.2488808,918,10,5047561,0.00018187
3,10.8,27,71.5,137.6577053,57.41,30,13.6,82.0708713,8890,314,10669709,0.0008332
4,13.3,19,75,137.9765658,60.19,25,15,49.20372528,11289,561,5818553,0.001940173
5,22.9,16,65,18.14854727,53.7,24,13.1,34.62858098,6568,306,5520314,0.001189787
5,13.9,16,70,122.2994372,76.85,66,16.4,73.20680303,179964,28284,67059887,0.002683631
4,21.7,5.1,63.8,83.26518231,68.52,25,17.9,21.53277976,2876,171,10716322,0.000268376
6,6.8,17,81.5,7096.190476,63.89,40,30,289.2440526,1065,4,7507400,0.00014186
3,21,14,60,107.9814868,66.67,49,16.8,76.14216087,3713,482,9769949,0.000380043
7,27.6,12,40,454.9380726,79.17,98,38.6,8.125001686,131423,3868,1366417754,9.62E-05
7,17.8,9,81.5,147.7521901,71.76,84,28.1,228.8190814,21745,1351,270625568,8.04E-05
6,29.2,16,65,410.4805915,75,59,22.8,7.194039511,16712,279,9053300,0.001845957
5,19.1,9,74,205.4183722,63.89,55,18.6,61.54849983,229327,32735,60297396,0.003803265
5,14.9,20,65,347.0734584,40.74,25,18.9,84.95044635,16410,845,126264931,0.000129965
7,16.6,12.6,54,6.769825721,83.8,25,21.3,38.01908951,7919,35,18513930,0.000427732
5,21.1,12.2,65.8,550.4,72.69,79,27.2,124.163742,2854,279,545724,0.00522975
6,24.8,10.9,69.2,413.1,72.69,45,33.3,120.2774597,332,6,293582,0.00113086
6,26.1,13.5,74.5,8092.3,72.69,79,23.9,5.227470471,45017,2092,3979537,0.01131212
6,14.8,9,80,95.96282149,75,56,28.1,251.8470404,7185,115,31949777,0.000224884
