UV,SolarRad,Avg_Wind,Rel_humidity,pop_Density,StringyInd,PM25,DailyTemp,Precipitation,DailyCases,DailyDeath,TotPop,CSR
4,19.6,14.4,62,77.0296708,88.89,39,10.1,51.83571188,14710,376,44385155,0.000331417
9,33.3,9,50,135.6091101,75.93,90,29.6,7.619436868,17417,185,9770529,0.001782606
5,10.8,10.6,70,274.7089819,79.63,42,17.8,38.73062944,208324,31175,66834405,0.003117017
3,16.5,20,56,27,69.44,25,8.2,20.32735329,1487,18,4485213,0.000331534
7,16.7,9,80,308.1252459,73.15,34,31.9,158.3285675,288,0,96462106,2.99E-06
4,11.6,15,57.25,1360.9,72.69,16,12,29.32302141,6253,117,932546,0.006705299
6,20.4,36,72.7,44,72.69,24,25,144.1655913,15,0,30032,0.000499467
3,12.9,14,65.35,107.1279669,64.81,41,18.6,59.9359092,15871,618,8877067,0.001787865
7,11.4,8,77.5,1239.579312,89.81,141,29.3,381.2041801,14657,228,163046161,8.99E-05
6,28.4,12,55.5,1300,81.94,101,20.8,137.6194851,593,9,21516000,2.76E-05
5,7,12,75,377.3795905,78.7,78,15.1,33.65119397,53081,8656,11484055,0.004622148
6,14.2,9,80,25.06171624,81.02,33,17.6,63.31472361,162699,11123,211049527,0.000770904
3,12.6,12.5,73.15,5492.6,72.69,23,12,37.59303841,2330,129,631486,0.00368971
8,34.3,17.2,21.1,247.3,72.69,25,37.8,2.911205877,4762,260,2266715,0.002100838
7,18.8,13.4,67,2026.4,72.69,20,22.2,53.55033158,2186,117,760141,0.002875782
5,14.1,17,78,97.91306306,72.22,45,19,299.9945085,792,7,5047561,0.000156907
3,20.8,27,71.5,137.6577053,57.41,59,16.9,86.16667328,8123,280,10669709,0.000761314
4,20.3,19,75,137.9765658,65.74,42,14,40.71380706,10429,529,5818553,0.00179237
5,13.9,16,65,18.14854727,60.19,19,9.7,49.91133224,5962,267,5520314,0.001080011
5,21.9,16,70,122.2994372,87.96,47,17.1,92.81931833,175027,26341,67059887,0.00261001
4,22.7,5.1,63.8,83.26518231,72.22,48,17.4,21.96511387,2716,151,10716322,0.000253445
6,6.8,17,81.5,7096.190476,63.89,34,30,189.6586314,1047,4,7507400,0.000139462
3,18,14,60,107.9814868,66.67,35,19.3,63.61873968,3263,413,9769949,0.000333983
7,31.6,12,40,454.9380726,81.94,132,27.7,6.246573761,67161,2212,1366417754,4.92E-05
7,22.8,9,81.5,147.7521901,74.54,111,26.7,239.1192156,14032,973,270625568,5.19E-05
6,26.2,16,65,410.4805915,77.78,78,19.3,6.759858268,16477,252,9053300,0.001819999
5,21.1,9,74,205.4183722,62.96,68,18.1,73.02411768,219070,30560,60297396,0.003633159
5,12.9,20,65,347.0734584,47.22,29,22.4,214.590468,15824,666,126264931,0.000125324
7,23.6,12.6,54,6.769825721,89.35,36,20.7,33.03092082,5090,31,18513930,0.000274928
5,21.1,12.2,65.8,550.4,72.69,76,18.9,86.61292994,2256,228,545724,0.004133958
6,25.8,10.9,69.2,413.1,72.69,35,27.8,124.8997837,254,6,293582,0.000865176
6,34.1,13.5,74.5,8092.3,72.69,76,24.4,5.453613902,32263,1531,3979537,0.008107225
